Country Name,Country Code,2012,2013,2014,2015,2016
Turkey,TUR,45.13,46.25,51.04,53.74497914,58.34773401
Azerbaijan,AZE,54.2,73.00000137,75.00001564,77,78.2
Uzbekistan,UZB,23.6,26.8,35.5,42.8,46.79128694
Turkmenistan,TKM,7.1958,9.6,12.2,14.99677482,17.99032446
United States,USA,74.7,71.4,73,74.55420245,76.17673698
Indonesia,IDN,14.52,14.94,17.14,21.97606771,25.36630059
Brazil,BRA,48.56,51.04,54.55100188,58.32795173,59.68274736
Pakistan,PAK,9.96,10.9,12,14,15.51455779
Nigeria,NGA,16.1,19.1,21,24.5,25.67
Bangladesh,BGD,5,6.63,13.9,14.4,18.246938
Russian Federation,RUS,63.8,67.97,70.52,73.41,76.40908522
Mexico,MEX,39.75,43.46,44.39,57.43104299,59.540446
Japan,JPN,79.4964,88.21942891,89.10683302,91.05802839,92
Philippines,PHL,36.2351,48.09902359,49.6,53.7,55.5
Ethiopia,ETH,2.9,4.6,7.7,11.6,15.36692386
Vietnam,VNM,36.8,38.5,41,43.5,46.5
Egypt,EGY,26.4,29.4,33.89460391,37.81938343,39.21381268
Germany,DEU,82.34999847,84.17,86.19,87.5898,89.64710059
Iran Islamic Rep.,IRN,22.73,29.95,39.35,45.33497588,53.22677263
Congo Dem. Rep.,COD,1.679961015,2.2,3,3.799999507,6.20997406
Thailand,THA,26.46,28.94,34.89,39.31612674,47.50496562
France,FRA,81.44,81.9198,83.75,84.6945,85.62219995
United Kingdom,GBR,87.47999842,89.8441,91.61,92.0003,94.77580063
Italy,ITA,55.82999799,58.4593,55.63846022,58.14173496,61.32425277
Myanmar,MMR,4,8,11.52,21.72583401,25.07330424
South Africa,ZAF,41,46.5,49,51.91911572,54
Colombia,COL,48.98,51.7,52.57,55.90497251,58.13649357
Spain,ESP,69.80999994,71.635,76.19,78.6896,80.56133294
Ukraine,UKR,35.27,40.954129,46.23597546,48.88464368,52.48180829
Tanzania,TZA,3.95,4.4,7,10,13
Kenya,KEN,10.5,13,16.5,21,26
Argentina,ARG,55.8,59.9,64.7,68.04306411,70.15076431
Poland,POL,62.30999727,62.8492,66.6,67997,73.3007
Sudan,SDN,21,22.7,24.64,26.61492855,28
Algeria,DZA,18.2,22.5,29.5,38.2,42.94552688
Iraq,IRQ,7.1,9.2,13.21,17.22,21.23
Canada,CAN,83,85.8,87.12,88.47,89.84
Uganda,UGA,14.1,15.5,16.9,17.83485947,21.87617046
Morocco,MAR,55.41605319,56,56.8,57.08,58.27123642
Peru,PER,38.2,39.2,40.2,40.9,45.46174069
Malaysia,MYS,65.8,57.05751226,63.66542588,71.06406781,78.78830993
Saudi Arabia,SAU,54,60.5,64.71365737,69.6162358,73.75090368
Venezuela,VEN,49.05008307,54.9,57,61.86924809,60
Nepal,NPL,11.1493,13.3,15.44,17.58161801,19.68876384
Afghanistan,AFG,5.454545455,5.9,7,8.26,10.59572642
Korea Rep.,KOR,84.07,84.77,87.55682649,89.64863086,92.71654537
Ghana,GHA,10.6,15,25.51773743,31.44785241,34.66600065
Yemen Rep.,YEM,17.4465,20,22.55,24.08540947,24.57920836
Mozambique,MOZ,6,7.29393733,9.236314896,16.93353299,17.52123909
Australia,AUS,79,83.45349717,84,84.56051935,88.23865805
World,WLD,34.3409696471734,36.8852987493858,39.9386983401633,43.1984562882465,45.9102820394338
